versão=23 CODIGO, DESC_PROD, DT_INI, DT_FIM, NCM, NCM_EX, EX_IPI, ALIQ_PIS, ALIQ_COFIN
101|Gasolinas, Exceto Gasolina de Aviação|01012009||27101159;27101259|||5,08|23,44
102|Óleo Diesel|01012009||27101921|||4,21|19,42
103|Gás Liqüefeito de Petróleo - GLP|01012009||27111910|||10,20|47,40
104|Querosene de Aviação|01012009||27101911|||5,00|23,20
105|Correntes Destinadas à Formulação de Gasolinas|01012009|||||5,08|23,44
106|Correntes Destinadas à Formulação de Óleo Diesel|01012009|||||4,21|19,42
107|Nafta Petroquímica Destinada à Formulação de Gasolina ou de Óleo Diesel|01012009|||||5,08|23,44
108|Nafta Petroquímica Destinada à Formulação Exclusivamente de Óleo Diesel|01012009|||||4,21|19,42
109|Biodiesel|01012009||38249029;38260000|||6,15|28,32
109|Biodiesel|01012009||38249029;38260000||01|6,15|28,32
112|Álcool, Inclusive para Fins Carburantes - Venda por Produtor ou Importador|01012009||22071000;22072010;220710;2207201|||1,50|6,90
112|Álcool, Inclusive para Fins Carburantes - Venda por Produtor ou Importador|01012009||22089000||01|1,50|6,90
113|Álcool, Inclusive para Fins Carburantes - Venda por Distribuidor ou Comerciante Não Varejista|01012009||22071000;22072010;220710;2207201|||3,75|17,25
113|Álcool, Inclusive para Fins Carburantes - Venda por Distribuidor ou Comerciante Não Varejista|01012009||22089000||01|3,75|17,25
150|Nafta Petroquímica Destinada às Centrais Petroquímicas|01012011|17092012||||1,0|4,60
150|Nafta Petroquímica e condensado destinado às Centrais Petroquímicas|18092012|07052013||||1,0|4,60
150|Nafta Petroquímica e condensado destinado às Centrais Petroquímicas|08052013|31122015||||0,18|0,82
150|Nafta Petroquímica e condensado destinado às Centrais Petroquímicas|01012016|08032016||||1,11|5,02
150|Nafta Petroquímica e condensado destinado às Centrais Petroquímicas|09032016|31122016||||0,54|2,46
151|Etano, Propano, Butano e Correntes Gasosas de Refinaria - HLR - Hidrocarbonetos Leves de Refino Destinados à Produção de Eteno e Propeno|01012011|07052013||||1,0|4,60
151|Etano, Propano, Butano e Correntes Gasosas de Refinaria - HLR - Hidrocarbonetos Leves de Refino Destinados à Produção de Eteno, Propeno, buteno, butadieno, orto-xileno, benzeno, tolueno, isopreno e paraxileno|08052013|31122015||||0,18|0,82
151|Etano, Propano, Butano e Correntes Gasosas de Refinaria - HLR - Hidrocarbonetos Leves de Refino Destinados à Produção de Eteno, Propeno, buteno, butadieno, orto-xileno, benzeno, tolueno, isopreno e paraxileno|01012016|08032016||||1,11|5,02
151|Etano, Propano, Butano e Correntes Gasosas de Refinaria - HLR - Hidrocarbonetos Leves de Refino Destinados à Produção de Eteno, Propeno, buteno, butadieno, orto-xileno, benzeno, tolueno, isopreno e paraxileno|09032016|31122016||||0,54|2,46
152|Eteno, propeno, buteno, butadieno, orto-xileno, benzeno, tolueno, isopreno e paraxileno para indústrias químicas para serem utilizados como insumo produtivo|08052013|31122015||||0,18|0,82
152|Eteno, propeno, buteno, butadieno, orto-xileno, benzeno, tolueno, isopreno e paraxileno para indústrias químicas para serem utilizados como insumo produtivo|01012016|08032016||||1,11|5,02
